H:\Projects\ZLQ\Demo\pythonProject\.venv\Scripts\python.exe H:\Projects\ZLQ\Demo\pythonProject\socket_demo.py 
Serving on ('127.0.0.1', 6868)
Received from /met/str: (0.24977999925613403,)
Received from /met/att: (-1.0,)
Received from /met/eng: (0.26613500714302063,)
Received from /met/exc: (0.43251898884773254,)
Received from /met/int: (0.3995180130004883,)
Received from /met/rel: (0.19398200511932373,)
Received from /met/str: (0.2828809916973114,)
Received from /met/att: (0.3125869929790497,)
Received from /met/eng: (0.3459460139274597,)
Received from /met/exc: (0.6339349746704102,)
Received from /met/int: (0.44455599784851074,)
Received from /met/rel: (0.2847430109977722,)
Received from /met/str: (0.36930400133132935,)
Received from /met/att: (0.4120270013809204,)
Received from /met/eng: (0.290473997592926,)
Received from /met/exc: (0.7572669982910156,)
Received from /met/int: (0.41443800926208496,)
Received from /met/rel: (0.33504998683929443,)
Received from /met/str: (0.37131598591804504,)
Received from /met/att: (0.31926199793815613,)
Received from /met/eng: (0.4433189928531647,)
Received from /met/exc: (0.7347649931907654,)
Received from /met/int: (0.41683799028396606,)
Received from /met/rel: (0.332520991563797,)
Received from /met/str: (0.40154099464416504,)
Received from /met/att: (0.30191001296043396,)
Received from /met/eng: (0.4258970022201538,)
Received from /met/exc: (0.754010021686554,)
Received from /met/int: (0.4450480043888092,)
Received from /met/rel: (0.33982500433921814,)
Received from /met/str: (0.391867995262146,)
Received from /met/att: (-1.0,)
Received from /met/eng: (-1.0,)
Received from /met/exc: (-1.0,)
Received from /met/int: (-1.0,)
Received from /met/rel: (-1.0,)
Received from /met/str: (-1.0,)

Process finished with exit code -1
