H:\Projects\ZLQ\Demo\pythonProject\.venv\Scripts\python.exe H:\Projects\ZLQ\Demo\pythonProject\socket_demo.py 
Serving on ('127.0.0.1', 6868)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.490200012922287,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.490200012922287,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.490200012922287,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.490200012922287,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.49845901131629944,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.49845901131629944,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.49845901131629944,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.49845901131629944,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.21744899451732635,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.21744899451732635,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.21744899451732635,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.21744899451732635,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.22930100560188293,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.22930100560188293,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.22930100560188293,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.22930100560188293,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.780538022518158,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.780538022518158,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.780538022518158,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.780538022518158,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.756708025932312,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.756708025932312,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.756708025932312,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.756708025932312,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5794600248336792,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5794600248336792,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5794600248336792,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5794600248336792,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8886849880218506,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8886849880218506,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8886849880218506,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8886849880218506,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5989850163459778,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5989850163459778,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5989850163459778,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.5989850163459778,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7792410254478455,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7792410254478455,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7792410254478455,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7792410254478455,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6864140033721924,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6864140033721924,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6864140033721924,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6864140033721924,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6177939772605896,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6177939772605896,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6177939772605896,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.6177939772605896,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7628099918365479,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7628099918365479,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7628099918365479,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7628099918365479,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/neutral: (0.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (1.0,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.9920669794082642,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.9920669794082642,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.9920669794082642,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.9920669794082642,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7757660150527954,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7757660150527954,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7757660150527954,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.7757660150527954,)
Received from /fac/lAct/neutral: (0.0,)
Received from /com/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8600640296936035,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8600640296936035,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8600640296936035,)
Received from /fac/lAct/neutral: (0.0,)
Received from /fac/eyeAct/neutral: (1.0,)
Received from /fac/uAct/surprise: (0.8600640296936035,)
Received from /fac/lAct/neutral: (0.0,)
